primary_doi,source_ref_from_compilation,raw_block_rows,positive_qe_rows,core_process_complete_rows,plus_basic_material_rows,plus_elemental_CO_rows,qe_min_compilation,qe_max_compilation,primary_metadata_verified,primary_fulltext_or_supplement_checked,row_values_verified_against_primary,target_semantics_verified,units_verified,duplicate_lineage_checked,v3_admission_status,verification_notes
10.1016/j.biortech.2018.04.108,Liau et al 2018,39,39,39,39,0,5.02958816956263,101.298700092333,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.scitotenv.2016.03.151,Li et al 2016,86,86,86,86,0,1.67224071733657,80.2675576217009,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1021/acsomega.3c00992,Zong et_al_2023,79,79,55,55,55,0.0887611078353302,73.08,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.biombioe.2023.106800,"Zhou et_al., 2023",44,41,41,41,41,9.22619010957462,46.9047586282063,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.scitotenv.2022.160289,Zhao et al 2023,71,70,70,70,70,0.50000051089692,16.8589742945757,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.scitotenv.2022.158794,"Zhang et al., 2023",105,105,105,105,105,4.59547143933822,200.31056049006003,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.jclepro.2022.135507,"Truong et al., 2023",63,60,60,60,60,0.026270672607554,15.5533660561839,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.2166/wst.2021.485,"Zhang et al., 2021",83,83,0,0,0,2.32018559431367,81.9080061456262,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.biortech.2019.03.113,"Zhang et al., 2019",98,98,74,74,74,0.3651699534026267,131.495329901603,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.3390/w10070869,"Xu et al., 2018",90,29,17,0,0,0.9642828954317793,18.60714218567822,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
